,hit,stay,optimal
"(12, 9)",-0.14771348,-0.46309185,hit
"(12, 10)",-0.11258954,-0.55633247,hit
"(13, 1)",-0.14423281,-0.052908406,stay
"(13, 2)",-0.23422873,-0.17494588,stay
"(13, 3)",-0.23422873,-0.17494588,stay
"(13, 4)",-0.23422873,-0.17494588,stay
"(13, 5)",-0.23422873,-0.17494588,stay
"(13, 6)",-0.23422873,-0.17494588,stay
"(13, 7)",-0.23616266,-0.21772152,stay
"(13, 8)",-0.20340738,-0.31524602,hit
"(13, 9)",-0.16828337,-0.40848663,hit
"(13, 10)",-0.1331594,-0.5017272,hit
"(14, 1)",-0.11020312,-0.014196904,stay
"(14, 2)",-0.23422873,-0.17494588,stay
"(14, 3)",-0.23422873,-0.17494588,stay
"(14, 4)",-0.23422873,-0.17494588,stay
"(14, 5)",-0.23422873,-0.17494588,stay
"(14, 6)",-0.23422873,-0.17494588,stay
"(14, 7)",-0.23422873,-0.17494588,stay
"(14, 8)",-0.22303265,-0.25893247,hit
"(14, 9)",-0.18885332,-0.35388154,hit
"(14, 10)",-0.1537292,-0.4471222,hit
"(15, 1)",-0.076173425,0.024514584,stay
"(15, 2)",-0.23422873,-0.17494588,stay
"(15, 3)",-0.23422873,-0.17494588,stay
"(15, 4)",-0.23422873,-0.17494588,stay
"(15, 5)",-0.23422873,-0.17494588,stay
"(15, 6)",-0.23422873,-0.17494588,stay
"(15, 7)",-0.23422873,-0.17494588,stay
"(15, 8)",-0.24158984,-0.20068748,stay
"(15, 9)",-0.20942312,-0.2992765,hit
"(15, 10)",-0.17429909,-0.39251715,hit
"(16, 1)",-0.042143703,0.06322613,stay
"(16, 2)",-0.23422873,-0.17494588,stay
"(16, 3)",-0.23422873,-0.17494588,stay
"(16, 4)",-0.23422873,-0.17494588,stay
"(16, 5)",-0.23422873,-0.17494588,stay
"(16, 6)",-0.23422873,-0.17494588,stay
"(16, 7)",-0.23422873,-0.17494588,stay
"(16, 8)",-0.23422873,-0.17494588,stay
"(16, 9)",-0.22845978,-0.24189845,hit
"(16, 10)",-0.19486901,-0.337912,hit
"(17, 1)",-0.00811404,0.10193771,stay
"(17, 2)",-0.23422873,-0.17494588,stay
"(17, 3)",-0.23422873,-0.17494588,stay
"(17, 4)",-0.23422873,-0.17494588,stay
"(17, 5)",-0.23422873,-0.17494588,stay
"(17, 6)",-0.23422873,-0.17494588,stay
"(17, 7)",-0.23422873,-0.17494588,stay
"(17, 8)",-0.23422873,-0.17494588,stay
"(17, 9)",-0.23730338,-0.17939575,stay
"(17, 10)",-0.2153297,-0.28310937,hit
"(18, 1)",0.025915563,0.1406492,stay
"(18, 2)",-0.23422873,-0.17494588,stay
"(18, 3)",-0.23422873,-0.17494588,stay
"(18, 4)",-0.23422873,-0.17494588,stay
"(18, 5)",-0.23422873,-0.17494588,stay
"(18, 6)",-0.23422873,-0.17494588,stay
"(18, 7)",-0.23422873,-0.17494588,stay
"(18, 8)",-0.23422873,-0.17494588,stay
"(18, 9)",-0.23422873,-0.17494588,stay
"(18, 10)",-0.23388696,-0.22486429,stay
"(19, 1)",0.05994527,0.17936069,stay
"(19, 2)",-0.23761654,-0.16140935,stay
"(19, 3)",-0.23422873,-0.17494588,stay
"(19, 4)",-0.23422873,-0.17494588,stay
"(19, 5)",-0.23422873,-0.17494588,stay
"(19, 6)",-0.23422873,-0.17494588,stay
"(19, 7)",-0.23422873,-0.17494588,stay
"(19, 8)",-0.23422873,-0.17494588,stay
"(19, 9)",-0.23422873,-0.17494588,stay
"(19, 10)",-0.23422873,-0.17494588,stay
"(20, 1)",0.09397489,0.21807218,stay
"(20, 2)",-0.21344203,-0.13163966,stay
"(20, 3)",-0.23422873,-0.17494588,stay
"(20, 4)",-0.23422873,-0.17494588,stay
"(20, 5)",-0.23422873,-0.17494588,stay
"(20, 6)",-0.23422873,-0.17494588,stay
"(20, 7)",-0.23422873,-0.17494588,stay
"(20, 8)",-0.23422873,-0.17494588,stay
"(20, 9)",-0.23422873,-0.17494588,stay
"(20, 10)",-0.23422873,-0.17494588,stay
